"Dionysus","ID","ID","ID","","","Line","","Notes by AR","Notes by DK"
"Darren","Dionysus_","0060","Dionysus_0060","","","О о о о реально Заг ще одне підношення, мені, я не знаю що й сказати, окрім, як: Будьмо! І, ось, подаруночок від мене!","","",""
"Darren","Dionysus_","0061","Dionysus_0061","","","Ого, маєш гарний смак, я тобі про це колись казав, чувак? Але й у мене хороший смак, тому я буду насолоджуватись твоїм невеличким підношенням, а ти насолоджуйся цим!","","",""
"Integrated","Dionysus_","0062","Dionysus_0062","","","Хочеш зависнути з нами?!","","",""
"Integrated","Dionysus_","0063","Dionysus_0063","","","Ось, це за мій рахунок!!","","",""
"Integrated","Dionysus_","0064","Dionysus_0064","","","Вип'ємо, приятелі!!","","",""
"Darren","Dionysus_","0067","Dionysus_0067","","","Гееей Заг!","","",""
"Integrated","Dionysus_","0068","Dionysus_0068","","","О гей чувак, що нового?","","",""
"Integrated","Dionysus_","0069","Dionysus_0069","","","Гей, ти там тримаєшся, га?","","",""
"Integrated","Dionysus_","0070","Dionysus_0070","","","Ти все ще цілий, чувак?","","",""
"Darren","Dionysus_","0071","Dionysus_0071","","","Це я, Заг, здоров!!","","",""
"Darren","Dionysus_","0072","Dionysus_0072","","","Звісно, чувак, чом би й ні?","","",""
"Darren","Dionysus_","0073","Dionysus_0073","","","Звучить круто, Заг.","","",""
"Integrated","Dionysus_","0074","Dionysus_0074","","","Авжеж, чувак!","","",""
"Integrated","Dionysus_","0075","Dionysus_0075","","","О, точняк!","","",""
"Integrated","Dionysus_","0076","Dionysus_0076","","","О так, я в ділі!","","",""
"Integrated","Dionysus_","0077","Dionysus_0077","","","Гей, будьмо чувак!","","",""
"Integrated","Dionysus_","0078","Dionysus_0078","","","Що, для мене, Заг, вау...!","","",""
"Integrated","Dionysus_","0079","Dionysus_0079","","","А це вже щось, так!","","",""
"Integrated","Dionysus_","0080","Dionysus_0080","","","Як я можу відмовити цьому!","","",""
"Integrated","Dionysus_","0081","Dionysus_0081","","","Буду тобі винен, чувак!","","",""
"Integrated","Dionysus_","0082","Dionysus_0082","","","Будьмо, я це прийму, чувак!","","",""
"Integrated","Dionysus_","0083","Dionysus_0083","","","О так, я січу в цьому!","","",""
"Integrated","Dionysus_","0084","Dionysus_0084","","","Ось, це тобі!","","",""
"Darren","Dionysus_","0085","Dionysus_0085","","","Ну чого ти, не соромся!","","",""
"Integrated","Dionysus_","0086","Dionysus_0086","","","О, а в мене для тебе щось є!","","",""
"Darren","Dionysus_","0087","Dionysus_0087","","","Заціни це, чувак!","","",""
"Darren","Dionysus_","0088","Dionysus_0088","","","Маю для тебе щось, чувак!","","",""
"Darren","Dionysus_","0089","Dionysus_0089","","","Е, не зовсім те що я думав.","","",""
"Integrated","Dionysus_","0090","Dionysus_0090","","","Що я можу сказати, чувак, це тухла тема.","","",""
"Integrated","Dionysus_","0091","Dionysus_0091","","","Я повністю пригнічений, чувак.","","",""
"Darren","Dionysus_","0092","Dionysus_0092","","","Гарно, Заг.","","",""
"Integrated","Dionysus_","0093","Dionysus_0093","","","Це до біса сумно.","","",""
"Darren","Dionysus_","0094","Dionysus_0094","","","Що там сталося, чувак?","","",""
"Darren","Dionysus_","0095","Dionysus_0095","","","Ой, та годі вже, Заг.","","",""
"Darren","Dionysus_","0096","Dionysus_0096","","","Не треба так, чувак.","","",""
"Integrated","Dionysus_","0097","Dionysus_0097","","","Та годі вже, чувак.","","",""
"Darren","Dionysus_","0098","Dionysus_0098","","","Оце вже неприйнятно, Заг.","","",""
"Integrated","Dionysus_","0099","Dionysus_0099","","","Ти зараз серйозно?","","",""
"Integrated","Dionysus_","0100","Dionysus_0100","","","Ти знущаєшся з мене?","","",""
"Integrated","Dionysus_","0101","Dionysus_0101","","","Я тупо в це не вірю, чувак.","","",""
"Darren","Dionysus_","0102","Dionysus_0102","","","Дай мені побути на самоті, чувак.","","",""
"Darren","Dionysus_","0103","Dionysus_0103","","","Попустися, чувак.","","",""
"Darren","Dionysus_","0104","Dionysus_0104","","","Ламаєш мені кайф, чувак.","","",""
"Darren","Dionysus_","0105","Dionysus_0105","","","Я тупо не вірю в це, чувак!","","",""
"Darren","Dionysus_","0106","Dionysus_0106","","","Воу, щооо?","","",""
"Darren","Dionysus_","0107","Dionysus_0107","","","Це дивно, чувак...!","","",""
"Darren","Dionysus_","0108","Dionysus_0108","","","Що, реально, чувак?","","",""
"Integrated","Dionysus_","0109","Dionysus_0109","","","Аааа, та ну, серйозно?","","",""
"Darren","Dionysus_","0110","Dionysus_0110","","","Гарна робота, Заг!","","",""
"Darren","Dionysus_","0111","Dionysus_0111","","","Знав, що ти впораєшся, чувак!","","",""
"Darren","Dionysus_","0112","Dionysus_0112","","","А оце вже було некисло!","","",""
"Darren","Dionysus_","0113","Dionysus_0113","","","Гарно зроблено, Заг!","","",""
"Darren","Dionysus_","0114","Dionysus_0114","","","Реально, хороша робота!","","",""
"Integrated","Dionysus_","0118","Dionysus_0118","","","","","",""
"Integrated","Dionysus_","0119","Dionysus_0119","","","","","",""
"Integrated","Dionysus_","0120","Dionysus_0120","","","","","",""
"Integrated","Dionysus_","0121","Dionysus_0121","","","","","",""
"Integrated","Dionysus_","0122","Dionysus_0122","","","","","",""
"Integrated","Dionysus_","0123","Dionysus_0123","","","","","",""
"Integrated","Dionysus_","0124","Dionysus_0124","","","","","",""
"Integrated","Dionysus_","0125","Dionysus_0125","","","","","",""
"Integrated","Dionysus_","0126","Dionysus_0126","","","","","",""
"Integrated","Dionysus_","0127","Dionysus_0127","","","","","",""
"Integrated","Dionysus_","0128","Dionysus_0128","","","","","",""
"Integrated","Dionysus_","0129","Dionysus_0129","","","","","",""
"Integrated","Dionysus_","0130","Dionysus_0130","","","","","",""
"Integrated","Dionysus_","0131","Dionysus_0131","","","","","",""
"Integrated","Dionysus_","0132","Dionysus_0132","","","","","",""
"Integrated","Dionysus_","0148","Dionysus_0148","","","Настав час для справжнього бенкету!","","",""
"Integrated","Dionysus_","0149","Dionysus_0149","","","Щось для всіх!","","",""
"Integrated","Dionysus_","0150","Dionysus_0150","","","Без проблем, чувак!","","",""
"Integrated","Dionysus_","0171","Dionysus_0171","","","Хахаха, ти ж знаєш, чувак!","","",""
"Integrated","Dionysus_","0172","Dionysus_0172","","","Ох ми сьогодні побенкетуємо!","","",""
"Integrated","Dionysus_","0173","Dionysus_0173","","","Ооо, ти по лікоть у біді, Заг!","","",""
"Integrated","Dionysus_","0174","Dionysus_0174","","","Тааак, чувак, ти знаєш що і як!","","",""
"Integrated","Dionysus_","0175","Dionysus_0175","","","Хах, тоді, твоє здоров'я, чувак!","","",""
"Integrated","Dionysus_","0176","Dionysus_0176","","","Це відвально-правильне рішення, чувак!","","",""
"Integrated","Dionysus_","0177","Dionysus_0177","","","Для чого так робити, чувак! Ми так гарно проводили час!","","",""
"Integrated","Dionysus_","0178","Dionysus_0178","","","Ненавиджу, бути кислим в таких випадках, Заг. Що я мав зробити?","","",""
"Integrated","Dionysus_","0179","Dionysus_0179","","","Уух, щось я кисло почуваюсь, чувак, ну тобто, що взагалі сталось?","","",""
