"Tisiphone","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Tisiphone_","0032","Tisiphone_0032","","","","Ввввбиивсссс....","","",""
"Integrated","Tisiphone_","0033","Tisiphone_0033","","","","Вбиивцяя, вбивцяяя!","","",""
"Integrated","Tisiphone_","0034","Tisiphone_0034","","","","Вбивствооо!!","","",""
"Integrated","Tisiphone_","0035","Tisiphone_0035","","","","Вбиии...!","","",""
"Integrated","Tisiphone_","0036","Tisiphone_0036","","","","Вввбивство!","","",""
"Integrated","Tisiphone_","0037","Tisiphone_0037","","","","Вввв!!!","","",""
"Integrated","Tisiphone_","0038","Tisiphone_0038","","","","Вбиввцяя!","","",""
"Integrated","Tisiphone_","0039","Tisiphone_0039","","","","Вбивстооо!!","","",""
"Integrated","Tisiphone_","0040","Tisiphone_0040","","","","Вбивстооооооо...!!","","",""
"Integrated","Tisiphone_","0041","Tisiphone_0041","","","","ВбивцЯЯЯЯ...!!","","",""
"Integrated","Tisiphone_","0042","Tisiphone_0042","","","","Ууу, бив, цяяя!!","","",""
"Integrated","Tisiphone_","0043","Tisiphone_0043","","","","Вбииугнннххх!!","","",""
"Integrated","Tisiphone_","0044","Tisiphone_0044","","","","Вбииухххх!","","",""
"Integrated","Tisiphone_","0045","Tisiphone_0045","","","","Вбб, гхмнн...","","",""
"Integrated","Tisiphone_","0046","Tisiphone_0046","","","","Вбии....","","",""
"Integrated","Tisiphone_","0047","Tisiphone_0047","","","","Вбиии....","","",""
"Integrated","Tisiphone_","0048","Tisiphone_0048","","","","Вввбббб....","","",""
"Integrated","Tisiphone_","0049","Tisiphone_0049","","","","Вбсрнгх!","","",""
"Integrated","Tisiphone_","0050","Tisiphone_0050","","","","Вббб...?","","",""
"Integrated","Tisiphone_","0051","Tisiphone_0051","","","","Вбб...","","",""
"Integrated","Tisiphone_","0052","Tisiphone_0052","","","","Вбст?","","",""
"Integrated","Tisiphone_","0053","Tisiphone_0053","","","","Вбб...","","",""
"Integrated","Tisiphone_","0054","Tisiphone_0054","","","","Ств...","","",""
"Integrated","Tisiphone_","0055","Tisiphone_0055","","","","Вбивство...?","","",""
"Integrated","Tisiphone_","0056","Tisiphone_0056","","","","Вбивство...!","","",""
"Integrated","Tisiphone_","0057","Tisiphone_0057","","","","Вбиввствоо....","","",""
"Integrated","Tisiphone_","0058","Tisiphone_0058","","","","Вбиввцяя....","","",""
"Integrated","Tisiphone_","0059","Tisiphone_0059","","","","Вбивцяя!","","",""
"Integrated","Tisiphone_","0060","Tisiphone_0060","","","","Вбиии...","","",""
"Integrated","Tisiphone_","0061","Tisiphone_0061","","","","Ввв...","","",""
"Integrated","Tisiphone_","0062","Tisiphone_0062","","","","Ввв!","","",""
"Integrated","Tisiphone_","0063","Tisiphone_0063","","","","Ммм.","","",""
"Integrated","Tisiphone_","0064","Tisiphone_0064","","","","Ррр...","","",""
"Integrated","Tisiphone_","0065","Tisiphone_0065","","","","Вбрнгх...","","",""
"Integrated","Tisiphone_","0066","Tisiphone_0066","","","","Мрхх!","","",""
"Integrated","Tisiphone_","0067","Tisiphone_0067","","","","Ррнгх!","","",""
"Integrated","Tisiphone_","0068","Tisiphone_0068","","","","Вбввв...","","",""
"Integrated","Tisiphone_","0069","Tisiphone_0069","","","","Мм-ххмммм...","","",""
"Integrated","Tisiphone_","0070","Tisiphone_0070","","","","Хрмх.","","",""
"Integrated","Tisiphone_","0071","Tisiphone_0071","","","","Вбивця.","","",""
"Integrated","Tisiphone_","0072","Tisiphone_0072","","","","Вбивцяяя....","","",""
"Integrated","Tisiphone_","0073","Tisiphone_0073","","","","Ввбивця...","","",""
"Integrated","Tisiphone_","0074","Tisiphone_0074","","","","Вбивця!","","",""
"Integrated","Tisiphone_","0075","Tisiphone_0075","","","","<Сміх>","","",""
"Integrated","Tisiphone_","0076","Tisiphone_0076","","","","Вбивцяяя...!","","",""
"Integrated","Tisiphone_","0077","Tisiphone_0077","","","","Вбивцяя...","","",""
"Integrated","Tisiphone_","0078","Tisiphone_0078","","","","Вбивцяя.","","",""
"Integrated","Tisiphone_","0079","Tisiphone_0079","","","","Вв, вбивствоо...?","","",""
"Integrated","Tisiphone_","0080","Tisiphone_0080","","","","Вбб, вби-!","","",""
"Integrated","Tisiphone_","0081","Tisiphone_0081","","","","Ввбивствоо....","","",""
"Integrated","Tisiphone_","0082","Tisiphone_0082","","","","Вбииии....","","",""
"Integrated","Tisiphone_","0083","Tisiphone_0083","","","","Вбив, цяяяя....","","",""
"Integrated","Tisiphone_","0084","Tisiphone_0084","","","","Вбииииииммгггх....","","",""
"Integrated","Tisiphone_","0085","Tisiphone_0085","","","","Вв, ввбии!","","",""
"Integrated","Tisiphone_","0086","Tisiphone_0086","","","","Вбии-?!","","",""
"Integrated","Tisiphone_","0087","Tisiphone_0087","","","","Вбииввствоо...!","","",""
"Integrated","Tisiphone_","0088","Tisiphone_0088","","","","Вби, вбивствоо...","","",""
"Integrated","Tisiphone_","0089","Tisiphone_0089","","","","Вбивство. Вбивство!","","",""
"Darren","Tisiphone_","0090","Tisiphone_0090","","","","Вбивство...!","","",""
"Darren","Tisiphone_","0092","Tisiphone_0092","","","","<Сміх>","","",""
"Unused","Tisiphone_","0093","Tisiphone_0093","","","","<Сміх>","","",""
"Unused","Tisiphone_","0094","Tisiphone_0094","","","","<Сміх>","","",""
"Unused","Tisiphone_","0095","Tisiphone_0095","","","","<Сміх>","","",""
"Unused","Tisiphone_","0096","Tisiphone_0096","","","","<Сміх>","","",""
"Integrated","Tisiphone_","0097","Tisiphone_0097","","","","","","",""
"Integrated","Tisiphone_","0098","Tisiphone_0098","","","","","","",""
"Integrated","Tisiphone_","0099","Tisiphone_0099","","","","","","",""
"Integrated","Tisiphone_","0100","Tisiphone_0100","","","","","","",""
"Integrated","Tisiphone_","0101","Tisiphone_0101","","","","","","",""
"Integrated","Tisiphone_","0102","Tisiphone_0102","","","","","","",""
"Integrated","Tisiphone_","0103","Tisiphone_0103","","","","","","",""
"Integrated","Tisiphone_","0104","Tisiphone_0104","","","","","","",""
"Integrated","Tisiphone_","0105","Tisiphone_0105","","","","","","",""
"Integrated","Tisiphone_","0106","Tisiphone_0106","","","","","","",""
"Integrated","Tisiphone_","0107","Tisiphone_0107","","","","","","",""
"Integrated","Tisiphone_","0108","Tisiphone_0108","","","","","","",""
"Integrated","Tisiphone_","0109","Tisiphone_0109","","","","","","",""
"Integrated","Tisiphone_","0110","Tisiphone_0110","","","","","","",""
"Integrated","Tisiphone_","0111","Tisiphone_0111","","","","","","",""
"Integrated","Tisiphone_","0112","Tisiphone_0112","","","","","","",""
"Integrated","Tisiphone_","0113","Tisiphone_0113","","","","","","",""
"Integrated","Tisiphone_","0114","Tisiphone_0114","","","","","","",""
"Integrated","Tisiphone_","0115","Tisiphone_0115","","","","","","",""
"Integrated","Tisiphone_","0116","Tisiphone_0116","","","","","","",""
"Integrated","Tisiphone_","0117","Tisiphone_0117","","","","","","",""
"Integrated","Tisiphone_","0118","Tisiphone_0118","","","","","","",""
"Integrated","Tisiphone_","0119","Tisiphone_0119","","","","","","",""
"Integrated","Tisiphone_","0120","Tisiphone_0120","","","","","","",""
"Integrated","Tisiphone_","0121","Tisiphone_0121","","","","","","",""
"Greg","Tisiphone_","0122","Tisiphone_0122","","","","","","",""
"Integrated","Tisiphone_","0123","Tisiphone_0123","","","","","","",""
"Integrated","Tisiphone_","0124","Tisiphone_0124","","","","","","",""
"Integrated","Tisiphone_","0125","Tisiphone_0125","","","","","","",""
"Integrated","Tisiphone_","0126","Tisiphone_0126","","","","","","",""
"Integrated","Tisiphone_","0127","Tisiphone_0127","","","","","","",""
"Integrated","Tisiphone_","0128","Tisiphone_0128","","","","","","",""
"Integrated","Tisiphone_","0129","Tisiphone_0129","","","","","","",""
"Integrated","Tisiphone_","0130","Tisiphone_0130","","","","Ззаггреюю!!","","",""
"Integrated","Tisiphone_","0131","Tisiphone_0131","","","","Згнрх...!","","",""
"Integrated","Tisiphone_","0132","Tisiphone_0132","","","","Ззагрею!","","",""
"Integrated","Tisiphone_","0133","Tisiphone_0133","","","","Жжжж!!!","","",""
"Integrated","Tisiphone_","0134","Tisiphone_0134","","","","Загрееюююю!","","",""
"Integrated","Tisiphone_","0135","Tisiphone_0135","","","","Загрею!!","","",""
"Integrated","Tisiphone_","0136","Tisiphone_0136","","","","Загреюююююю!","","",""
"Integrated","Tisiphone_","0137","Tisiphone_0137","","","","ЗагРЕЮЮЮЮЮ...!!","","",""
"Integrated","Tisiphone_","0138","Tisiphone_0138","","","","Заг, ре, ююю...!!","","",""
"Integrated","Tisiphone_","0139","Tisiphone_0139","","","","Зунфххх!!","","",""
"Integrated","Tisiphone_","0140","Tisiphone_0140","","","","Зугфффххххх!","","",""
"Integrated","Tisiphone_","0141","Tisiphone_0141","","","","Зе, гмнх...","","",""
"Integrated","Tisiphone_","0142","Tisiphone_0142","","","","Гмнх....","","",""
"Integrated","Tisiphone_","0143","Tisiphone_0143","","","","Зурррр....","","",""
"Integrated","Tisiphone_","0144","Tisiphone_0144","","","","Ззаххх...","","",""
"Integrated","Tisiphone_","0145","Tisiphone_0145","","","","Зунрх!","","",""
"Integrated","Tisiphone_","0146","Tisiphone_0146","","","","Зррр...?","","",""
"Integrated","Tisiphone_","0147","Tisiphone_0147","","","","Зрр...","","",""
"Integrated","Tisiphone_","0148","Tisiphone_0148","","","","Зах?","","",""
"Integrated","Tisiphone_","0149","Tisiphone_0149","","","","Зрр...","","",""
"Integrated","Tisiphone_","0150","Tisiphone_0150","","","","Гррр...","","",""
"Integrated","Tisiphone_","0151","Tisiphone_0151","","","","Загреюю...?","","",""
"Integrated","Tisiphone_","0152","Tisiphone_0152","","","","Загреюю...!","","",""
"Integrated","Tisiphone_","0153","Tisiphone_0153","","","","Заггреюю....","","",""
"Integrated","Tisiphone_","0154","Tisiphone_0154","","","","Заггреююю....","","",""
"Integrated","Tisiphone_","0155","Tisiphone_0155","","","","Загреюю!","","",""
"Integrated","Tisiphone_","0156","Tisiphone_0156","","","","Згрнх...","","",""
"Integrated","Tisiphone_","0157","Tisiphone_0157","","","","Згрнх!","","",""
"Integrated","Tisiphone_","0158","Tisiphone_0158","","","","Змхн...","","",""
"Integrated","Tisiphone_","0159","Tisiphone_0159","","","","Зунгх!","","",""
"Integrated","Tisiphone_","0160","Tisiphone_0160","","","","Змм.","","",""
"Integrated","Tisiphone_","0161","Tisiphone_0161","","","","Грр...","","",""
"Integrated","Tisiphone_","0162","Tisiphone_0162","","","","Грннгх...","","",""
"Integrated","Tisiphone_","0163","Tisiphone_0163","","","","Грнхх!","","",""
"Integrated","Tisiphone_","0164","Tisiphone_0164","","","","Зррмнх...","","",""
"Integrated","Tisiphone_","0165","Tisiphone_0165","","","","Зрй-ххм...","","",""
"Integrated","Tisiphone_","0166","Tisiphone_0166","","","","Згрмх.","","",""
"Integrated","Tisiphone_","0167","Tisiphone_0167","","","","Вбивця!","","",""
"Integrated","Tisiphone_","0168","Tisiphone_0168","","","","Вввбивство....","","",""
"Integrated","Tisiphone_","0169","Tisiphone_0169","","","","Ввбивця...!","","",""
"Integrated","Tisiphone_","0170","Tisiphone_0170","","","","Вввбссбсбс...","","",""
"Integrated","Tisiphone_","0171","Tisiphone_0171","","","","Ввбитии Ззагрея.","","",""
"Integrated","Tisiphone_","0172","Tisiphone_0172","","","","Загреююю....","","",""
"Integrated","Tisiphone_","0173","Tisiphone_0173","","","","Зззагрею...","","",""
"Integrated","Tisiphone_","0175","Tisiphone_0175","","","","Загреююю...!","","",""
"Integrated","Tisiphone_","0176","Tisiphone_0176","","","","Загреюю...","","",""
"Integrated","Tisiphone_","0177","Tisiphone_0177","","","","Загмбствооооо.","","",""
"Integrated","Tisiphone_","0178","Tisiphone_0178","","","","Зух, Змфх....?","","",""
"Integrated","Tisiphone_","0179","Tisiphone_0179","","","","За, грее-!","","",""
"Integrated","Tisiphone_","0180","Tisiphone_0180","","","","Ззах, грее, йугнх....","","",""
"Integrated","Tisiphone_","0181","Tisiphone_0181","","","","Ззззуах....","","",""
"Integrated","Tisiphone_","0182","Tisiphone_0182","","","","Заг, гре, ю....","","",""
"Integrated","Tisiphone_","0183","Tisiphone_0183","","","","Ззззууугрррмфх....","","",""
"Integrated","Tisiphone_","0184","Tisiphone_0184","","","","Зз, ззуфгх!","","",""
"Integrated","Tisiphone_","0185","Tisiphone_0185","","","","Ззааг-?!","","",""
"Integrated","Tisiphone_","0186","Tisiphone_0186","","","","Ззахгрею...!","","",""
"Integrated","Tisiphone_","0187","Tisiphone_0187","","","","Зз-захгреею...","","",""
"Darren","Tisiphone_","0188","Tisiphone_0188","","","","Загре-йу!.","","",""
"Darren","Tisiphone_","0189","Tisiphone_0189","","","","Загрею...!","","",""
"Darren","Tisiphone_","0190","Tisiphone_0190","","","","Ззаггреююю...","","",""
